customer_id,age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status,issue_date
INDCUST000017,25,Employed,14.2,6250,663,8.2,8750,835,1,2,0,Business Loan,Education,20000,14.19,0.134,3.2,0.24,0,2023-01-25
INDCUST000018,57,Employed,14.0,36250,780,18.9,53750,8422,0,1,0,Business Loan,Debt Consolidation,117500,10.43,0.232,3.241,0.091,0,2018-06-09
INDCUST000019,52,Employed,24.7,33750,736,15.2,41250,16211,0,0,0,Credit Card,Debt Consolidation,128750,14.05,0.48,3.815,0.151,0,2020-10-10
INDCUST000020,39,Employed,2.7,78750,652,13.5,73750,24859,0,0,1,Personal Loan,Debt Consolidation,182500,10.9,0.316,2.317,0.182,0,2017-06-04
INDCUST000021,33,Employed,23.1,62500,315,11.0,76250,31310,0,2,0,Personal Loan,Home Improvement,242500,13.35,0.501,3.88,0.242,0,2017-02-25
INDCUST000022,59,Employed,8.2,72500,530,1.4,67500,36952,0,0,0,Business Loan,Business,175000,12.15,0.51,2.414,0.096,0,2016-11-24
INDCUST000023,53,Employed,24.4,81250,311,5.3,106250,10651,0,1,0,Personal Loan,Education,321250,13.16,0.131,3.954,0.196,0,2022-09-11
INDCUST000024,21,Employed,4.8,6250,551,16.2,3750,2581,0,1,0,Personal Loan,Home Improvement,17500,18.35,0.413,2.8,0.134,0,2022-06-25
INDCUST000025,61,Employed,25.5,61250,324,18.2,41250,34460,0,2,0,Personal Loan,Debt Consolidation,122500,18.64,0.563,2.0,0.049,0,2016-12-11
INDCUST000026,29,Employed,19.8,38750,514,13.1,32500,9720,0,2,0,Personal Loan,Home Improvement,118750,10.15,0.251,3.065,0.231,0,2023-11-22
INDCUST000027,54,Employed,4.6,102500,696,16.9,90000,55812,0,0,0,Credit Card,Education,351250,21.27,0.545,3.427,0.22,0,2020-05-26
INDCUST000028,61,Employed,11.3,30000,662,11.7,31250,6801,0,2,0,Credit Card,Home Improvement,70000,15.28,0.227,2.333,0.083,0,2017-05-01
INDCUST000029,21,Employed,10.1,87500,336,15.2,121250,22483,0,2,0,Personal Loan,Business,300000,15.06,0.257,3.429,0.272,0,2021-04-07
INDCUST000030,51,Employed,8.9,112500,850,4.8,100000,53288,1,1,0,Credit Card,Business,393750,19.18,0.474,3.5,0.277,0,2015-12-29
INDCUST000031,58,Employed,14.3,122500,313,18.3,116250,61784,0,2,0,Credit Card,Debt Consolidation,316250,10.36,0.504,2.582,0.146,0,2022-01-18
INDCUST000032,31,Employed,6.0,71250,363,18.4,53750,10109,0,0,1,Business Loan,Debt Consolidation,150000,11.14,0.142,2.105,0.049,0,2015-08-05
INDCUST000033,53,Employed,15.2,10000,436,1.2,12500,1292,0,0,0,Business Loan,Debt Consolidation,20000,13.24,0.129,2.0,0.091,0,2023-04-12
INDCUST000034,42,Employed,28.7,105000,830,5.4,67500,47904,1,2,0,Credit Card,Business,275000,13.2,0.456,2.619,0.089,0,2020-04-14
INDCUST000035,31,Employed,5.7,61250,612,19.0,72500,27740,0,1,0,Credit Card,Home Improvement,148750,17.74,0.453,2.429,0.087,0,2021-09-12
INDCUST000036,52,Employed,12.6,21250,691,16.7,11250,9056,0,2,0,Personal Loan,Business,42500,9.96,0.426,2.0,0.046,0,2022-04-21
INDCUST000037,33,Employed,16.6,20000,636,7.1,17500,5789,0,1,0,Credit Card,Debt Consolidation,77500,19.22,0.289,3.875,0.153,0,2024-02-18
INDCUST000038,42,Employed,29.4,100000,348,6.7,88750,54576,0,1,0,Personal Loan,Education,340000,14.74,0.546,3.4,0.166,0,2022-11-08
INDCUST000039,33,Employed,13.6,45000,830,1.4,36250,5607,0,2,0,Personal Loan,Home Improvement,96250,16.78,0.125,2.139,0.089,0,2018-01-28
INDCUST000040,29,Employed,25.2,18750,352,8.0,11250,4609,1,0,0,Business Loan,Home Improvement,63750,11.95,0.246,3.4,0.25,0,2019-01-26
INDCUST000041,63,Employed,22.6,97500,712,10.9,112500,56807,0,0,0,Personal Loan,Education,226250,16.32,0.583,2.321,0.132,0,2018-10-26
INDCUST000042,31,Employed,10.5,113750,822,9.0,65000,19934,1,2,0,Personal Loan,Education,311250,18.51,0.175,2.736,0.07,0,2024-05-04
INDCUST000043,31,Employed,20.3,17500,540,18.0,10000,10211,0,2,0,Credit Card,Business,42500,12.61,0.583,2.429,0.142,0,2024-08-19
INDCUST000044,59,Employed,29.5,10000,342,2.6,10000,3092,0,2,0,Credit Card,Business,28750,10.74,0.309,2.875,0.216,0,2015-04-03
INDCUST000045,46,Employed,7.9,81250,787,19.8,67500,21485,0,1,1,Credit Card,Debt Consolidation,167500,15.88,0.264,2.062,0.114,0,2021-10-14
INDCUST000046,23,Employed,2.8,100000,331,16.2,136250,51383,0,2,0,Personal Loan,Debt Consolidation,347500,9.88,0.514,3.475,0.086,0,2017-03-13
INDCUST000047,29,Employed,15.3,52500,679,17.8,61250,14625,1,2,0,Credit Card,Home Improvement,182500,12.86,0.279,3.476,0.11,0,2023-03-24
INDCUST000048,32,Employed,29.3,61250,677,9.1,81250,31992,0,0,0,Personal Loan,Home Improvement,238750,12.36,0.522,3.898,0.102,0,2017-08-27
INDCUST000049,32,Employed,20.8,68750,634,5.8,102500,25642,0,1,0,Credit Card,Business,256250,20.41,0.373,3.727,0.255,0,2017-10-25
INDCUST000050,36,Employed,24.1,118750,662,17.6,146250,13386,0,2,0,Business Loan,Business,238750,9.16,0.113,2.011,0.156,0,2023-07-15
INDCUST000051,42,Employed,14.7,91250,502,6.8,131250,20600,0,1,0,Business Loan,Business,317500,19.45,0.226,3.479,0.109,0,2020-03-30
INDCUST000052,24,Employed,14.3,108750,435,18.6,141250,47422,0,0,0,Personal Loan,Home Improvement,308750,17.39,0.436,2.839,0.12,0,2023-10-11
INDCUST000053,43,Employed,13.2,47500,689,15.2,42500,20524,1,0,0,Credit Card,Business,95000,21.67,0.432,2.0,0.083,0,2016-12-18
INDCUST000054,39,Employed,3.1,105000,657,9.0,102500,53287,0,0,0,Business Loan,Debt Consolidation,287500,10.76,0.507,2.738,0.113,0,2018-10-03
INDCUST000055,27,Employed,17.7,63750,590,3.0,42500,31720,0,1,1,Business Loan,Business,246250,15.99,0.498,3.863,0.28,0,2022-04-11
INDCUST000056,34,Employed,18.2,83750,818,6.5,77500,24104,0,1,0,Business Loan,Home Improvement,306250,16.86,0.288,3.657,0.215,0,2017-03-16
INDCUST000057,29,Employed,2.8,53750,431,19.2,65000,26115,0,0,0,Business Loan,Home Improvement,132500,10.73,0.486,2.465,0.159,0,2023-07-25
INDCUST000058,23,Employed,28.7,116250,841,1.2,108750,57450,0,1,0,Personal Loan,Home Improvement,381250,21.16,0.494,3.28,0.197,0,2015-01-23
INDCUST000059,28,Employed,18.0,92500,421,17.5,51250,20603,0,2,0,Credit Card,Home Improvement,230000,17.9,0.223,2.486,0.112,0,2018-07-17
INDCUST000060,43,Employed,25.7,68750,797,13.2,60000,25652,0,1,0,Personal Loan,Business,227500,10.1,0.373,3.309,0.124,0,2019-05-17
INDCUST000061,27,Employed,8.2,106250,478,16.5,142500,31561,0,1,1,Business Loan,Debt Consolidation,236250,12.04,0.297,2.224,0.141,0,2018-12-21
INDCUST000062,60,Employed,5.6,120000,669,2.2,116250,32337,1,1,0,Business Loan,Business,381250,14.62,0.269,3.177,0.15,0,2019-11-10
INDCUST000063,45,Employed,25.9,110000,365,4.3,58750,45600,0,2,0,Personal Loan,Education,361250,21.71,0.415,3.284,0.169,0,2021-04-08
INDCUST000064,42,Employed,17.4,41250,586,9.0,36250,15656,0,0,0,Personal Loan,Home Improvement,93750,15.4,0.38,2.273,0.062,0,2022-07-30
INDCUST000065,55,Employed,17.7,48750,784,10.6,35000,10257,0,0,0,Personal Loan,Debt Consolidation,153750,15.35,0.21,3.154,0.232,0,2024-02-18
INDCUST000066,24,Employed,28.7,51250,364,9.1,35000,12091,0,2,0,Business Loan,Business,128750,13.18,0.236,2.512,0.142,0,2024-04-29
INDCUST000067,25,Employed,1.0,103750,715,13.2,148750,56486,0,2,0,Business Loan,Home Improvement,363750,16.86,0.544,3.506,0.117,0,2022-10-31
INDCUST000068,43,Employed,6.3,33750,693,6.8,17500,15731,0,2,1,Personal Loan,Home Improvement,126250,16.95,0.466,3.741,0.296,0,2023-11-16
INDCUST000069,52,Employed,13.2,70000,777,17.9,68750,32567,0,2,0,Credit Card,Debt Consolidation,155000,21.51,0.465,2.214,0.108,0,2018-03-28
INDCUST000070,55,Employed,18.5,23750,312,18.1,30000,12744,0,0,0,Credit Card,Business,62500,16.18,0.537,2.632,0.132,0,2018-03-19
INDCUST000071,53,Employed,5.7,6250,340,16.9,7500,3481,0,2,0,Business Loan,Debt Consolidation,18750,10.97,0.557,3.0,0.092,0,2021-06-20
INDCUST000072,43,Employed,5.5,66250,386,2.4,52500,13269,1,2,0,Credit Card,Education,232500,21.7,0.2,3.509,0.257,0,2021-08-02
INDCUST000073,41,Employed,22.5,87500,418,14.9,95000,14457,1,0,0,Credit Card,Business,228750,21.41,0.165,2.614,0.084,0,2019-04-07
INDCUST000074,28,Employed,6.2,72500,735,9.1,70000,11689,1,1,0,Business Loan,Debt Consolidation,208750,19.01,0.161,2.879,0.059,0,2024-09-25
INDCUST000075,52,Employed,7.2,32500,494,7.6,25000,9560,0,0,0,Personal Loan,Home Improvement,105000,11.24,0.294,3.231,0.251,0,2019-05-04
INDCUST000076,50,Employed,20.6,23750,671,14.9,13750,10236,0,2,0,Credit Card,Business,81250,19.85,0.431,3.421,0.159,0,2018-12-07
INDCUST000077,37,Employed,29.7,71250,697,12.1,78750,13570,0,1,0,Credit Card,Debt Consolidation,185000,16.04,0.19,2.596,0.179,0,2022-11-09
INDCUST000078,22,Employed,6.5,112500,801,1.5,138750,12105,1,2,0,Business Loan,Debt Consolidation,418750,20.97,0.108,3.722,0.156,0,2023-02-25
INDCUST000079,63,Employed,14.0,106250,576,9.9,112500,13162,1,1,1,Personal Loan,Debt Consolidation,367500,11.44,0.124,3.459,0.173,0,2017-11-30
INDCUST000080,21,Employed,17.0,8750,639,4.5,11250,4071,0,2,1,Personal Loan,Home Improvement,17500,21.94,0.465,2.0,0.082,0,2024-02-12
INDCUST000081,52,Employed,16.9,43750,470,17.1,25000,24699,1,2,0,Business Loan,Debt Consolidation,111250,11.43,0.565,2.543,0.125,0,2015-01-07
INDCUST000082,36,Employed,24.5,110000,826,3.0,107500,17802,0,0,0,Personal Loan,Home Improvement,390000,20.48,0.162,3.545,0.235,0,2019-03-28
INDCUST000083,22,Employed,11.3,123750,363,9.5,85000,59699,0,0,0,Credit Card,Home Improvement,265000,22.0,0.482,2.141,0.117,0,2018-01-22
INDCUST000084,40,Employed,14.4,45000,613,6.6,41250,9082,0,2,0,Credit Card,Education,107500,14.51,0.202,2.389,0.077,0,2016-12-21
INDCUST000085,60,Employed,17.3,37500,713,1.1,42500,17434,0,0,0,Personal Loan,Business,102500,18.12,0.465,2.733,0.177,0,2019-10-17
INDCUST000086,22,Employed,20.8,85000,439,18.7,45000,20014,0,0,0,Personal Loan,Education,265000,18.05,0.235,3.118,0.112,0,2020-05-05
INDCUST000087,58,Employed,13.0,13750,387,18.9,20000,1738,1,2,0,Business Loan,Debt Consolidation,47500,19.58,0.126,3.455,0.136,0,2023-02-28
INDCUST000088,34,Employed,20.9,108750,402,1.8,127500,50870,0,0,0,Personal Loan,Education,353750,10.45,0.468,3.253,0.223,0,2023-03-13
INDCUST000089,53,Employed,6.4,25000,837,5.9,36250,11450,0,2,0,Business Loan,Business,100000,13.58,0.458,4.0,0.124,0,2016-09-05
INDCUST000090,63,Employed,28.5,122500,641,15.5,95000,46867,0,2,0,Personal Loan,Education,470000,16.03,0.383,3.837,0.105,0,2018-08-14
INDCUST000091,52,Employed,4.8,71250,489,16.7,75000,23176,0,2,0,Personal Loan,Home Improvement,263750,13.91,0.325,3.702,0.151,0,2024-06-12
INDCUST000092,27,Employed,23.5,110000,540,17.8,158750,39995,0,0,0,Business Loan,Education,258750,12.47,0.364,2.352,0.112,0,2024-12-03
INDCUST000093,59,Employed,26.4,47500,844,8.8,58750,10201,0,0,0,Credit Card,Home Improvement,111250,20.62,0.215,2.342,0.157,0,2024-11-17
INDCUST000094,60,Employed,23.6,21250,452,3.1,26250,11121,0,2,0,Credit Card,Business,80000,17.21,0.523,3.765,0.239,0,2016-12-04
INDCUST000095,51,Employed,10.6,12500,366,19.1,16250,7013,0,0,0,Credit Card,Debt Consolidation,25000,9.99,0.561,2.0,0.158,0,2017-12-15
INDCUST000096,64,Employed,2.9,3750,300,4.3,5000,1725,0,1,0,Credit Card,Debt Consolidation,13750,15.88,0.46,3.667,0.293,0,2019-05-12
INDCUST000097,41,Employed,27.9,82500,470,1.7,87500,13058,0,1,0,Credit Card,Home Improvement,187500,19.69,0.158,2.273,0.05,0,2019-10-17
INDCUST000098,59,Employed,14.6,108750,861,19.4,91250,54272,0,1,0,Business Loan,Education,312500,19.79,0.499,2.874,0.14,0,2016-04-14
INDCUST000099,39,Employed,5.3,117500,562,11.2,88750,41029,0,2,0,Personal Loan,Debt Consolidation,367500,18.45,0.349,3.128,0.173,0,2018-06-10
INDCUST000100,27,Employed,21.2,55000,463,1.2,58750,8471,0,1,1,Personal Loan,Business,135000,11.77,0.154,2.455,0.121,0,2024-04-06
INDCUST000101,47,Employed,23.4,5000,478,3.5,1250,502,0,2,0,Personal Loan,Debt Consolidation,11250,13.98,0.1,2.25,0.113,0,2021-05-25
INDCUST000102,38,Employed,13.8,3750,702,16.7,2500,1758,0,1,0,Business Loan,Home Improvement,13750,13.52,0.469,3.667,0.217,0,2024-01-06
INDCUST000103,64,Employed,16.1,53750,618,2.0,30000,29159,0,1,0,Personal Loan,Business,161250,16.96,0.542,3.0,0.098,0,2019-08-20
INDCUST000104,22,Employed,14.4,20000,633,7.4,23750,3263,1,0,0,Business Loan,Home Improvement,56250,13.34,0.163,2.812,0.149,0,2023-11-20
INDCUST000105,58,Employed,26.4,77500,331,1.0,108750,43674,0,2,0,Personal Loan,Home Improvement,295000,11.06,0.564,3.806,0.299,0,2017-01-04
INDCUST000106,58,Employed,3.9,52500,841,2.3,63750,18845,0,1,0,Credit Card,Debt Consolidation,121250,18.97,0.359,2.31,0.131,0,2021-07-20
INDCUST000107,45,Employed,15.6,112500,764,10.4,145000,66155,0,2,1,Credit Card,Home Improvement,226250,20.85,0.588,2.011,0.129,0,2020-10-18
INDCUST000108,53,Employed,5.0,33750,591,4.4,22500,18196,0,0,0,Credit Card,Home Improvement,132500,17.7,0.539,3.926,0.302,0,2023-01-29
INDCUST000109,30,Employed,28.7,121250,719,15.3,136250,65983,0,0,1,Credit Card,Business,448750,9.37,0.544,3.701,0.118,0,2024-08-29
INDCUST000110,41,Employed,28.6,41250,317,9.9,45000,18340,0,1,0,Credit Card,Business,85000,14.7,0.445,2.061,0.139,0,2024-06-29
INDCUST000111,27,Employed,19.1,3750,778,18.5,1250,551,0,2,0,Credit Card,Education,13750,14.66,0.147,3.667,0.248,0,2020-12-30
INDCUST000112,35,Employed,5.3,92500,302,3.0,62500,15036,0,2,0,Personal Loan,Business,227500,17.51,0.163,2.459,0.067,0,2018-07-12
INDCUST000113,21,Employed,23.1,88750,502,7.8,122500,38463,0,0,0,Credit Card,Business,246250,13.01,0.433,2.775,0.075,0,2023-07-14
INDCUST000114,37,Employed,0.9,91250,879,19.4,122500,14750,0,1,1,Business Loan,Home Improvement,276250,18.43,0.162,3.027,0.081,0,2024-05-15
INDCUST000115,58,Employed,0.8,105000,437,15.7,101250,56851,0,1,0,Credit Card,Business,292500,17.19,0.541,2.786,0.158,0,2024-12-04
INDCUST000116,29,Employed,29.0,41250,797,1.7,41250,7385,0,1,1,Business Loan,Home Improvement,135000,10.62,0.179,3.273,0.195,0,2019-10-27
INDCUST000117,23,Employed,13.3,72500,456,6.9,93750,16815,0,2,0,Business Loan,Home Improvement,290000,16.8,0.232,4.0,0.197,0,2021-10-14
INDCUST000118,41,Employed,29.7,7500,647,4.9,8750,1495,0,1,0,Credit Card,Business,20000,15.07,0.199,2.667,0.115,0,2022-05-01
INDCUST000119,34,Employed,2.3,90000,379,15.3,45000,31602,0,0,0,Business Loan,Education,197500,20.67,0.351,2.194,0.08,0,2016-08-09
INDCUST000120,41,Employed,25.8,113750,717,5.4,73750,33763,0,1,0,Credit Card,Debt Consolidation,411250,14.99,0.297,3.615,0.161,0,2022-12-12
INDCUST000121,43,Employed,13.8,11250,545,14.7,10000,6487,0,0,0,Business Loan,Debt Consolidation,28750,11.01,0.577,2.556,0.149,0,2023-04-01
INDCUST000122,60,Employed,4.0,10000,317,1.6,11250,4331,0,1,0,Personal Loan,Business,40000,9.4,0.433,4.0,0.19,0,2024-11-12
INDCUST000123,60,Employed,26.9,106250,570,13.3,68750,26411,0,2,0,Credit Card,Business,411250,21.94,0.249,3.871,0.116,0,2021-04-08
INDCUST000124,23,Employed,19.6,112500,865,13.3,141250,18218,0,0,0,Business Loan,Home Improvement,233750,15.7,0.162,2.078,0.12,0,2015-10-23
INDCUST000125,46,Employed,26.4,87500,719,6.1,127500,37257,0,0,0,Credit Card,Home Improvement,243750,13.16,0.426,2.786,0.136,0,2020-06-07
INDCUST000126,64,Employed,26.2,2500,821,18.7,1250,794,0,2,0,Business Loan,Business,7500,21.68,0.318,3.0,0.228,0,2016-06-26
INDCUST000127,37,Employed,3.8,5000,859,8.4,2500,2406,0,2,0,Business Loan,Home Improvement,10000,19.39,0.481,2.0,0.095,0,2022-11-26
INDCUST000128,47,Employed,12.8,63750,395,1.7,78750,31356,0,1,0,Credit Card,Education,227500,15.51,0.492,3.569,0.154,0,2021-12-04
INDCUST000129,47,Employed,6.9,8750,429,18.1,10000,3962,0,2,0,Credit Card,Home Improvement,32500,12.46,0.453,3.714,0.17,0,2020-01-12
INDCUST000130,29,Employed,14.4,5000,861,9.4,2500,1296,0,2,0,Personal Loan,Debt Consolidation,15000,14.27,0.259,3.0,0.131,0,2023-05-26
INDCUST000131,57,Employed,6.6,118750,565,8.8,167500,37806,0,1,0,Business Loan,Home Improvement,260000,18.66,0.318,2.189,0.154,0,2015-06-29
INDCUST000132,57,Employed,1.7,110000,357,9.5,61250,19454,0,1,0,Personal Loan,Business,282500,21.45,0.177,2.568,0.139,0,2023-02-08
INDCUST000133,44,Employed,25.4,22500,465,2.1,32500,11428,0,0,0,Credit Card,Education,45000,10.97,0.508,2.0,0.141,0,2024-03-08
INDCUST000134,48,Employed,28.5,85000,479,9.6,120000,50954,0,1,0,Business Loan,Home Improvement,173750,16.91,0.599,2.044,0.129,0,2022-04-29
INDCUST000135,41,Employed,3.3,18750,717,17.2,16250,8301,0,1,0,Credit Card,Debt Consolidation,68750,10.22,0.443,3.667,0.195,0,2019-02-26
INDCUST000136,44,Employed,24.0,20000,425,16.1,11250,10787,0,2,0,Personal Loan,Debt Consolidation,68750,16.12,0.539,3.438,0.104,0,2016-09-30
INDCUST000137,30,Employed,1.4,57500,786,5.4,76250,8103,0,0,0,Personal Loan,Home Improvement,208750,13.41,0.141,3.63,0.149,0,2018-08-18
INDCUST000138,30,Employed,22.6,27500,382,4.0,13750,13957,0,1,0,Business Loan,Business,83750,10.27,0.508,3.045,0.198,0,2017-12-10
INDCUST000139,38,Employed,19.1,36250,564,5.5,22500,12993,1,1,0,Credit Card,Education,106250,9.11,0.358,2.931,0.087,0,2024-02-21
INDCUST000140,59,Employed,17.6,2500,501,4.7,1250,1401,0,1,0,Business Loan,Education,8750,12.25,0.56,3.5,0.224,0,2018-09-05
INDCUST000141,35,Employed,8.7,31250,727,4.7,41250,13111,0,1,0,Credit Card,Debt Consolidation,117500,9.44,0.42,3.76,0.159,0,2024-04-14
INDCUST000142,49,Employed,27.3,45000,894,11.4,35000,15152,0,2,0,Business Loan,Business,93750,14.57,0.337,2.083,0.094,0,2019-08-28
INDCUST000143,23,Employed,10.7,68750,829,12.7,73750,14652,0,0,0,Credit Card,Business,208750,9.94,0.213,3.036,0.078,0,2020-10-27
INDCUST000144,61,Employed,13.4,82500,506,5.3,90000,17521,0,2,0,Business Loan,Business,217500,18.97,0.212,2.636,0.106,0,2015-06-25
INDCUST000145,38,Employed,7.9,107500,802,18.5,122500,39778,0,0,0,Business Loan,Home Improvement,401250,9.21,0.37,3.733,0.137,0,2021-06-18
INDCUST000146,60,Employed,26.9,7500,543,7.7,3750,3533,0,0,0,Credit Card,Business,18750,21.01,0.471,2.5,0.122,0,2015-12-13
INDCUST000147,22,Employed,5.8,17500,772,13.0,20000,9459,0,0,0,Credit Card,Business,40000,12.64,0.541,2.286,0.175,0,2019-08-15
INDCUST000148,46,Employed,25.6,50000,572,15.2,30000,8808,0,2,0,Personal Loan,Home Improvement,138750,12.29,0.176,2.775,0.066,0,2024-01-26
INDCUST000149,42,Employed,2.0,61250,709,8.0,47500,36696,1,1,0,Credit Card,Debt Consolidation,148750,12.47,0.599,2.429,0.161,0,2018-08-08
INDCUST000150,59,Employed,2.1,25000,402,9.3,13750,4290,0,0,0,Credit Card,Business,77500,11.45,0.172,3.1,0.179,0,2017-07-31
INDCUST000151,37,Employed,27.0,65000,481,3.8,52500,30911,0,1,0,Personal Loan,Business,241250,21.65,0.476,3.712,0.159,0,2019-09-06
INDCUST000152,27,Employed,7.7,111250,772,10.0,105000,22929,0,2,0,Personal Loan,Home Improvement,360000,14.46,0.206,3.236,0.179,0,2021-07-06
INDCUST000153,22,Employed,17.3,81250,306,14.1,40000,42474,1,2,0,Credit Card,Business,257500,15.72,0.523,3.169,0.183,0,2020-10-28
INDCUST000154,32,Employed,13.4,16250,415,13.4,15000,7335,0,0,0,Credit Card,Education,56250,14.9,0.451,3.462,0.249,0,2016-01-27
INDCUST000155,22,Employed,7.2,117500,548,2.8,60000,26597,0,2,0,Business Loan,Education,437500,15.2,0.226,3.723,0.287,0,2017-06-02
INDCUST000156,46,Employed,20.0,62500,701,9.7,57500,28030,1,0,0,Personal Loan,Education,140000,10.92,0.448,2.24,0.111,0,2020-03-12
INDCUST000157,64,Employed,4.1,37500,890,11.2,26250,5827,0,1,1,Business Loan,Home Improvement,96250,15.32,0.155,2.567,0.096,0,2024-01-17
INDCUST000158,48,Employed,13.8,123750,364,19.7,103750,73598,0,1,1,Credit Card,Debt Consolidation,416250,13.44,0.595,3.364,0.192,0,2018-07-20
INDCUST000159,55,Employed,19.8,8750,704,8.5,7500,4481,0,0,0,Credit Card,Education,16250,21.19,0.512,1.857,0.046,0,2022-03-22
INDCUST000160,21,Employed,16.0,50000,318,15.7,61250,24199,0,2,0,Credit Card,Business,132500,10.47,0.484,2.65,0.161,0,2018-02-14
INDCUST000161,45,Employed,16.4,38750,761,19.6,52500,20683,0,2,0,Personal Loan,Business,120000,17.4,0.534,3.097,0.162,0,2024-04-30
INDCUST000162,36,Employed,13.0,56250,693,10.4,75000,13012,0,1,0,Credit Card,Education,188750,19.3,0.231,3.356,0.173,0,2021-05-09
INDCUST000163,40,Employed,11.9,121250,524,4.7,76250,18590,0,2,0,Business Loan,Home Improvement,257500,19.2,0.153,2.124,0.144,0,2015-03-31
INDCUST000164,23,Employed,24.4,25000,681,2.0,36250,10110,0,0,0,Personal Loan,Debt Consolidation,66250,12.51,0.404,2.65,0.191,0,2024-07-15
INDCUST000165,54,Employed,2.8,101250,737,7.4,91250,24577,0,0,0,Business Loan,Home Improvement,278750,13.39,0.243,2.753,0.09,0,2021-09-14
INDCUST000166,55,Employed,27.1,71250,638,2.2,56250,31917,0,1,0,Business Loan,Debt Consolidation,198750,11.29,0.448,2.789,0.184,0,2015-01-27
INDCUST000167,32,Employed,28.1,72500,656,16.2,35000,38997,0,2,0,Personal Loan,Education,160000,16.31,0.538,2.207,0.048,0,2022-01-19
INDCUST000168,36,Employed,23.4,22500,540,17.2,13750,2455,0,1,0,Personal Loan,Business,81250,16.14,0.109,3.611,0.074,0,2017-12-30
INDCUST000169,51,Employed,28.6,113750,341,7.0,102500,61375,0,0,0,Personal Loan,Debt Consolidation,440000,17.56,0.54,3.868,0.09,0,2019-07-23
INDCUST000170,50,Employed,13.5,60000,371,19.8,43750,18296,0,1,0,Business Loan,Home Improvement,218750,10.22,0.305,3.646,0.227,0,2019-04-05
INDCUST000171,26,Employed,13.7,47500,886,14.7,28750,27098,1,2,0,Personal Loan,Home Improvement,131250,21.45,0.57,2.763,0.134,0,2021-06-05
INDCUST000172,62,Employed,16.0,23750,801,4.5,15000,3882,0,0,0,Personal Loan,Debt Consolidation,51250,9.36,0.163,2.158,0.075,0,2024-01-25
INDCUST000173,28,Employed,12.7,45000,748,1.7,32500,11512,0,0,0,Business Loan,Debt Consolidation,118750,10.95,0.256,2.639,0.065,0,2021-06-12
